Product Title,Link,Price,Rating,Number of Reviews
"Samsung Galaxy Tab A11, Wifi, Android Tablet, Gray, 8GB RAM, 128GB Storage, 8.7"" Screen (KSA Version)",/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5XPNH7,SAR640.53,4.4,(109) 
"Samsung Galaxy Tab A11, Wifi, Android Tablet, Gray, 8GB RAM, 128GB Storage, 8.7"" Screen (KSA Version)",/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5XPNH7,SAR640.53,4.4,(109) 
"Samsung Galaxy Tab A11+, WiFi, Android Tablet, Silver, 6GB RAM, 128GB Storage, 11"" Screen (KSA Version)",/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBHY4F7,SAR799.00,4.0,(51) 
"Samsung Galaxy Tab A11+, WiFi, Android Tablet, Silver, 6GB RAM, 128GB Storage, 11"" Screen (KSA Version)",/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBHY4F7,SAR799.00,4.0,(51) 
"HONOR Pad X8b WiFi Tablet 11-Inch 90Hz FHD Display, 10100mAh Battery, 4GB RAM + 64GB Expandable Storage (Up to 1TB), SGS 5-Star Drop Resistance, 4 Speakers, 15W Fast Charging, Metal Body, Space Grey",/-/en/HONOR-10100mAh-Expandable-Resistance-Speakers/dp/B0GZWHPD35,SAR799.00,4.1,(31) 
"HONOR Pad X8b WiFi Tablet 11-Inch 90Hz FHD Display, 10100mAh Battery, 4GB RAM + 64GB Expandable Storage (Up to 1TB), SGS 5-Star Drop Resistance, 4 Speakers, 15W Fast Charging, Metal Body, Space Grey",/-/en/HONOR-10100mAh-Expandable-Resistance-Speakers/dp/B0GZWHPD35,SAR799.00,4.1,(31) 
"HUAWEI MatePad SE 11'' 4+128GB Grey Tablet, FullView Display, Large Capacity Battery, Without Pen, 1-Year Amazon Exclusive Huawei Care+",/-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0G9VMXB18,SAR699.00,3.8,(6) 
"HUAWEI MatePad SE 11'' 4+128GB Grey Tablet, FullView Display, Large Capacity Battery, Without Pen, 1-Year Amazon Exclusive Huawei Care+",/-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0G9VMXB18,SAR699.00,3.8,(6) 
"HUAWEI MatePad SE 11'' 8+128GB Nebula Grey Tablet, FullView Display, Large Capacity Battery, 1-Year Amazon Exclusive Huawei Care+",/-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0GFWRDWZD,SAR799.00,4.4,(13) 
"HUAWEI MatePad SE 11'' 8+128GB Nebula Grey Tablet, FullView Display, Large Capacity Battery, 1-Year Amazon Exclusive Huawei Care+",/-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0GFWRDWZD,SAR799.00,4.4,(13) 
