Product Title,Brand,Price,Currency,PreReduction Price,Discount
37.45,PUMA,37.45,BHD,,
19.35,Adidas,19.35,BHD,24.83,-23%
19.24,PUMA,19.24,BHD,,
44.28,Nike,44.28,BHD,,
20.38,Adidas,20.38,BHD,,
23.79,Adidas,23.79,BHD,,
61.35,Jordan,61.35,BHD,,
4.44,NASA,4.44,BHD,,
40.87,Jordan,40.87,BHD,,
67.04,Jordan,67.04,BHD,,
18.1,crocs,18.1,BHD,,
52.36,asics,52.36,BHD,,
36.2,adidas Originals,36.2,BHD,49.76,-28%
29.48,Nike,29.48,BHD,,
10.81,SKECHERS,10.81,BHD,18.32,-41%
22.31,Nike,22.31,BHD,41.09,-46%
18.78,adidas Originals,18.78,BHD,27.00,-31%
27.09,Nike,27.09,BHD,41.09,-35%
18.21,Adidas,18.21,BHD,27.00,-33%
20.1,U.S. Polo Assn.,20.1,BHD,33.22,-40%
16.85,Adidas,16.85,BHD,25.91,-35%
18.91,U.S. Polo Assn.,18.91,BHD,40.37,-54%
21.52,crocs,21.52,BHD,,
57.94,New Balance,57.94,BHD,,
46.55,Nike,46.55,BHD,,
23.79,PUMA,23.79,BHD,,
25.5,Reebok,25.5,BHD,35.67,-29%
52.25,Nike,52.25,BHD,,
61.35,Nike,61.35,BHD,,
61.35,Nike,61.35,BHD,,
52.36,Adidas,52.36,BHD,,
44.28,Nike,44.28,BHD,,
52.25,Nike,52.25,BHD,,
46.55,PUMA,46.55,BHD,,
28.34,PUMA,28.34,BHD,,
69.32,Jordan,69.32,BHD,,
35.17,Nike,35.17,BHD,,
38.59,New Balance,38.59,BHD,,
26.75,SKECHERS,26.75,BHD,28.00,-5%
55.66,Nike,55.66,BHD,,
72.73,Jordan,72.73,BHD,,
35.17,Adidas,35.17,BHD,,
22.65,Adidas,22.65,BHD,,
40.87,Nike,40.87,BHD,,
44.28,Jordan,44.28,BHD,,
31.3,asics,31.3,BHD,,
24.93,Adidas,24.93,BHD,,
29.48,Adidas,29.48,BHD,,
67.04,Nike,67.04,BHD,,
23.79,crocs,23.79,BHD,,
20.26,Adidas,20.26,BHD,25.91,-22%
30.62,Adidas,30.62,BHD,,
44.28,Nike,44.28,BHD,,
46.55,Jordan,46.55,BHD,,
57.94,Nike,57.94,BHD,,
23.91,Adidas,23.91,BHD,27.00,-12%
35.17,Nike,35.17,BHD,,
24.93,Adidas,24.93,BHD,,
29.48,Adidas,29.48,BHD,,
52.25,Jordan,52.25,BHD,,
22.65,Adidas,22.65,BHD,,
18.1,crocs,18.1,BHD,,
29.48,Adidas,29.48,BHD,,
67.04,Jordan,67.04,BHD,,
31.3,asics,31.3,BHD,,
10.36,speedo,10.36,BHD,10.95,-6%
46.55,Nike,46.55,BHD,,
44.73,asics,44.73,BHD,48.78,-9%
